Tempo Del Viaggiatore, Lower Bound, Upper Bound, Risolto In 1 h, Monumenti Considerati, Politica Selezione Monumenti, Tempo
10000, 1414.0, 1414.0, Si, 25, mista (1d8p), 6.517667293548584
10000, 1435.0, 1435.0, Si, 26, mista (1d8p), 444.11010098457336
10000, 1435.0, 1435.0, Si, 27, mista (1d8p), 190.62114572525024
10000, 1435.0, 1435.0, Si, 28, mista (1d8p), 223.87360882759094
10000, 1469.0, 1499.0920907780555, No, 29, mista (1d8p), 911.6504657268524
10000, 1487.0, 1487.0, Si, 30, mista (1d8p), 900.2809860706329
10000, 1487.0, 1513.4368588656616, No, 31, mista (1d8p), 932.0456206798553
10000, 641.0, 641.0, Si, 15, tutti, 17.44577956199646
10000, 980.0, 980.0, Si, 15, popolarita, 5.690862417221069
10000, 1058.0, 1058.0, Si, 16, popolarita, 3.592831611633301
10000, 1055.0, 1055.0, Si, 17, popolarita, 6.269279956817627
10000, 641.0, 641.0, Si, 15, popolarita, 13.947274923324585
10000, 641.0, 641.0, Si, 16, popolarita, 63.17582964897156
10000, 656.0, 656.0, Si, 17, popolarita, 63.20735454559326
10000, 656.0, 656.0, Si, 18, popolarita, 25.668206691741943
10000, 667.0, 667.0, Si, 19, popolarita, 524.1941902637482
10000, 730.0, 730.0, Si, 20, popolarita, 190.98447561264038
10000, 780.0, 780.0, Si, 21, popolarita, 91.45351314544678
10000, 795.0, 795.0, Si, 22, popolarita, 251.77585649490356
10000, 795.0, 795.0, Si, 23, popolarita, 39.803401947021484
10000, 843.0, 843.0, Si, 24, popolarita, 23.519278049468994
10000, 850.0, 850.0, Si, 25, popolarita, 183.40379977226257
10000, 850.0, 850.0, Si, 26, popolarita, 167.71322417259216
10000, 0.0, -inf, No, 50, popolarita, 905.5158176422119
3600, 410.0, 410.0, Si, 15, popolarita, 1.9051213264465332
3600, 414.0, 414.0, Si, 22, popolarita, 5.0267014503479
3600, 505.0, 505.0, Si, 30, popolarita, 26.415143966674805
3600, 523.0, 523.0, Si, 37, popolarita, 38.42737865447998
3600, 691.0, 713.270387694492, No, 45, popolarita, 914.8190095424652
3600, 523.0, 523.0, Si, 37, popolarita, 77.50998258590698
3600, 0.0, -inf, No, 50, popolarita, 924.01216340065
3600, 421.0, 421.0, Si, 25, popolarita, 13.232367038726807
3600, 410.0, 410.0, Si, 15, popolarita, 2.006498098373413
3600, 410.0, 410.0, Si, 16, popolarita, 2.07139253616333
3600, 410.0, 410.0, Si, 17, popolarita, 2.31549072265625
3600, 410.0, 410.0, Si, 18, popolarita, 2.7682647705078125
3600, 410.0, 410.0, Si, 19, popolarita, 2.905939817428589
3600, 414.0, 414.0, Si, 20, popolarita, 4.72193717956543
